area1,area2,time,freqAvg
강원도,강릉시,9,2
강원도,강릉시,10,1
강원도,강릉시,11,2
강원도,강릉시,12,2
강원도,강릉시,13,2
강원도,강릉시,14,1
강원도,강릉시,15,1
강원도,강릉시,16,1
강원도,강릉시,17,1
강원도,강릉시,18,1
강원도,강릉시,19,1
강원도,강릉시,20,1
강원도,강릉시,21,1
강원도,삼척시,10,1
강원도,삼척시,11,1
강원도,삼척시,12,1
강원도,삼척시,13,1
강원도,삼척시,14,1
강원도,삼척시,15,1
강원도,삼척시,16,1
강원도,삼척시,17,1
강원도,삼척시,18,1
강원도,삼척시,19,1
강원도,삼척시,20,1
강원도,삼척시,21,2
강원도,삼척시,22,1
강원도,속초시,0,1
강원도,속초시,1,1
강원도,속초시,10,2
강원도,속초시,11,2
강원도,속초시,12,2
강원도,속초시,13,2
강원도,속초시,14,2
강원도,속초시,15,2
강원도,속초시,16,2
강원도,속초시,17,4
강원도,속초시,18,6
강원도,속초시,19,6
강원도,속초시,20,5
강원도,속초시,21,4
강원도,속초시,22,4
강원도,속초시,23,2
강원도,원주시,1,2
강원도,원주시,9,1
강원도,원주시,10,1
강원도,원주시,11,1
강원도,원주시,12,2
강원도,원주시,13,2
강원도,원주시,14,2
강원도,원주시,15,2
강원도,원주시,16,2
강원도,원주시,17,2
강원도,원주시,18,2
강원도,원주시,19,3
강원도,원주시,20,3
강원도,원주시,21,3
강원도,원주시,22,3
강원도,원주시,23,1
강원도,철원군,11,1
강원도,철원군,13,1
강원도,철원군,15,1
강원도,철원군,18,1
강원도,춘천시,0,1
강원도,춘천시,9,1
강원도,춘천시,10,2
강원도,춘천시,11,3
강원도,춘천시,12,2
강원도,춘천시,13,1
강원도,춘천시,14,1
강원도,춘천시,15,1
강원도,춘천시,16,1
강원도,춘천시,17,2
강원도,춘천시,18,2
강원도,춘천시,19,2
강원도,춘천시,20,2
강원도,춘천시,21,1
강원도,춘천시,22,1
강원도,춘천시,23,1
경기도,고양시 덕양구,0,9
경기도,고양시 덕양구,1,6
경기도,고양시 덕양구,2,1
경기도,고양시 덕양구,3,1
경기도,고양시 덕양구,4,2
경기도,고양시 덕양구,5,1
경기도,고양시 덕양구,9,2
경기도,고양시 덕양구,10,3
경기도,고양시 덕양구,11,11
경기도,고양시 덕양구,12,15
경기도,고양시 덕양구,13,13
경기도,고양시 덕양구,14,11
경기도,고양시 덕양구,15,10
경기도,고양시 덕양구,16,12
경기도,고양시 덕양구,17,19
경기도,고양시 덕양구,18,28
경기도,고양시 덕양구,19,27
경기도,고양시 덕양구,20,21
경기도,고양시 덕양구,21,17
경기도,고양시 덕양구,22,15
경기도,고양시 덕양구,23,12
경기도,고양시 일산동구,0,5
경기도,고양시 일산동구,1,4
경기도,고양시 일산동구,2,1
경기도,고양시 일산동구,9,2
경기도,고양시 일산동구,10,2
경기도,고양시 일산동구,11,8
경기도,고양시 일산동구,12,8
경기도,고양시 일산동구,13,7
경기도,고양시 일산동구,14,6
경기도,고양시 일산동구,15,6
경기도,고양시 일산동구,16,8
경기도,고양시 일산동구,17,11
경기도,고양시 일산동구,18,14
경기도,고양시 일산동구,19,13
경기도,고양시 일산동구,20,10
경기도,고양시 일산동구,21,9
경기도,고양시 일산동구,22,7
경기도,고양시 일산동구,23,6
경기도,고양시 일산서구,0,3
경기도,고양시 일산서구,1,3
경기도,고양시 일산서구,2,2
경기도,고양시 일산서구,3,1
경기도,고양시 일산서구,4,1
경기도,고양시 일산서구,9,1
경기도,고양시 일산서구,10,3
경기도,고양시 일산서구,11,6
경기도,고양시 일산서구,12,7
경기도,고양시 일산서구,13,5
경기도,고양시 일산서구,14,5
경기도,고양시 일산서구,15,5
경기도,고양시 일산서구,16,6
경기도,고양시 일산서구,17,10
경기도,고양시 일산서구,18,16
경기도,고양시 일산서구,19,15
경기도,고양시 일산서구,20,11
경기도,고양시 일산서구,21,8
경기도,고양시 일산서구,22,6
경기도,고양시 일산서구,23,4
경기도,광명시,0,6
경기도,광명시,1,5
경기도,광명시,2,4
경기도,광명시,3,26
경기도,광명시,4,50
경기도,광명시,5,36
경기도,광명시,6,4
경기도,광명시,9,3
경기도,광명시,10,9
경기도,광명시,11,23
경기도,광명시,12,28
경기도,광명시,13,22
경기도,광명시,14,17
경기도,광명시,15,16
경기도,광명시,16,19
경기도,광명시,17,34
경기도,광명시,18,49
경기도,광명시,19,44
경기도,광명시,20,31
경기도,광명시,21,21
경기도,광명시,22,14
경기도,광명시,23,9
경기도,광주시,0,2
경기도,광주시,1,5
경기도,광주시,2,4
경기도,광주시,9,2
경기도,광주시,10,3
경기도,광주시,11,7
경기도,광주시,12,9
경기도,광주시,13,7
경기도,광주시,14,5
경기도,광주시,15,5
경기도,광주시,16,5
경기도,광주시,17,10
경기도,광주시,18,15
경기도,광주시,19,13
경기도,광주시,20,9
경기도,광주시,21,7
경기도,광주시,22,5
경기도,광주시,23,3
경기도,구리시,1,1
경기도,구리시,10,1
경기도,구리시,11,2
경기도,구리시,12,2
경기도,구리시,13,1
경기도,구리시,14,1
경기도,구리시,15,1
경기도,구리시,16,1
경기도,구리시,17,1
경기도,구리시,18,1
경기도,구리시,19,1
경기도,구리시,20,1
경기도,군포시,10,2
경기도,군포시,11,3
경기도,군포시,12,3
경기도,군포시,13,2
경기도,군포시,14,2
경기도,군포시,15,2
경기도,군포시,16,2
경기도,군포시,17,2
경기도,군포시,18,3
경기도,군포시,19,2
경기도,군포시,20,2
경기도,군포시,21,1
경기도,군포시,22,1
경기도,군포시,23,1
경기도,김포시,0,2
경기도,김포시,9,1
경기도,김포시,10,1
경기도,김포시,11,2
경기도,김포시,12,2
경기도,김포시,13,2
경기도,김포시,14,2
경기도,김포시,15,2
경기도,김포시,16,2
경기도,김포시,17,2
경기도,김포시,18,3
경기도,김포시,19,3
경기도,김포시,20,2
경기도,김포시,21,2
경기도,김포시,22,2
경기도,김포시,23,3
경기도,남양주시,0,4
경기도,남양주시,1,3
경기도,남양주시,9,1
경기도,남양주시,10,9
경기도,남양주시,11,17
경기도,남양주시,12,18
경기도,남양주시,13,15
경기도,남양주시,14,12
경기도,남양주시,15,12
경기도,남양주시,16,15
경기도,남양주시,17,26
경기도,남양주시,18,36
경기도,남양주시,19,31
경기도,남양주시,20,22
경기도,남양주시,21,16
경기도,남양주시,22,14
경기도,남양주시,23,7
경기도,동두천시,0,6
경기도,동두천시,1,4
경기도,동두천시,2,2
경기도,동두천시,3,4
경기도,동두천시,4,3
