area1,time,freqavg
강원도,0,1
강원도,1,1
강원도,9,1
강원도,10,1
강원도,11,2
강원도,12,2
강원도,13,2
강원도,14,2
강원도,15,2
강원도,16,2
강원도,17,2
강원도,18,3
강원도,19,3
강원도,20,3
강원도,21,3
강원도,22,3
강원도,23,2
경기도,0,7
경기도,1,5
경기도,2,5
경기도,3,4
경기도,4,4
경기도,5,4
경기도,6,4
경기도,7,4
경기도,8,5
경기도,9,5
경기도,10,6
경기도,11,14
경기도,12,16
경기도,13,13
경기도,14,11
경기도,15,10
경기도,16,12
경기도,17,19
경기도,18,28
경기도,19,27
경기도,20,21
경기도,21,16
경기도,22,13
경기도,23,9
경상남도,0,3
경상남도,1,3
경상남도,2,3
경상남도,3,3
경상남도,4,2
경상남도,5,2
경상남도,6,3
경상남도,7,3
경상남도,8,4
경상남도,9,3
경상남도,10,3
경상남도,11,8
경상남도,12,9
경상남도,13,7
경상남도,14,5
경상남도,15,4
경상남도,16,5
경상남도,17,8
경상남도,18,11
경상남도,19,10
경상남도,20,7
경상남도,21,6
경상남도,22,5
경상남도,23,4
경상북도,0,3
경상북도,1,2
경상북도,2,1
경상북도,3,1
경상북도,8,1
경상북도,9,1
경상북도,10,2
경상북도,11,5
경상북도,12,6
경상북도,13,5
경상북도,14,4
경상북도,15,4
경상북도,16,4
경상북도,17,7
경상북도,18,10
경상북도,19,9
경상북도,20,7
경상북도,21,6
경상북도,22,5
경상북도,23,3
광주광역시,0,2
광주광역시,1,3
광주광역시,2,5
광주광역시,3,1
광주광역시,8,3
광주광역시,9,2
광주광역시,10,2
광주광역시,11,3
광주광역시,12,3
광주광역시,13,3
광주광역시,14,2
광주광역시,15,2
광주광역시,16,2
광주광역시,17,3
광주광역시,18,5
광주광역시,19,5
광주광역시,20,4
광주광역시,21,4
광주광역시,22,4
광주광역시,23,3
대구광역시,0,4
대구광역시,1,3
대구광역시,2,1
대구광역시,8,1
대구광역시,9,3
대구광역시,10,2
대구광역시,11,3
대구광역시,12,3
대구광역시,13,3
대구광역시,14,3
대구광역시,15,3
대구광역시,16,3
대구광역시,17,3
대구광역시,18,4
대구광역시,19,4
대구광역시,20,4
대구광역시,21,4
대구광역시,22,3
대구광역시,23,3
대전광역시,0,4
대전광역시,1,3
대전광역시,2,3
대전광역시,3,3
대전광역시,4,2
대전광역시,6,1
대전광역시,7,1
대전광역시,9,1
대전광역시,10,2
대전광역시,11,4
대전광역시,12,4
대전광역시,13,4
대전광역시,14,3
대전광역시,15,3
대전광역시,16,4
대전광역시,17,7
대전광역시,18,10
대전광역시,19,10
대전광역시,20,8
대전광역시,21,7
대전광역시,22,6
대전광역시,23,5
부산광역시,0,4
부산광역시,1,2
부산광역시,2,3
부산광역시,3,2
부산광역시,4,1
부산광역시,7,2
부산광역시,8,2
부산광역시,9,10
부산광역시,10,6
부산광역시,11,12
부산광역시,12,13
부산광역시,13,10
부산광역시,14,8
부산광역시,15,8
부산광역시,16,10
부산광역시,17,23
부산광역시,18,32
부산광역시,19,27
부산광역시,20,20
부산광역시,21,17
부산광역시,22,14
부산광역시,23,10
서울특별시,0,5
서울특별시,1,4
서울특별시,2,4
서울특별시,3,4
서울특별시,4,4
서울특별시,5,4
서울특별시,6,5
서울특별시,7,5
서울특별시,8,5
서울특별시,9,4
서울특별시,10,5
서울특별시,11,9
서울특별시,12,10
서울특별시,13,9
서울특별시,14,8
서울특별시,15,7
서울특별시,16,8
서울특별시,17,13
서울특별시,18,18
서울특별시,19,17
서울특별시,20,14
서울특별시,21,11
서울특별시,22,10
서울특별시,23,7
세종특별자치시,0,8
세종특별자치시,1,3
세종특별자치시,8,1
세종특별자치시,9,2
세종특별자치시,10,2
세종특별자치시,11,2
세종특별자치시,12,2
세종특별자치시,13,1
세종특별자치시,14,1
세종특별자치시,15,1
세종특별자치시,16,1
세종특별자치시,17,2
세종특별자치시,18,2
세종특별자치시,19,1
세종특별자치시,20,1
세종특별자치시,21,2
세종특별자치시,22,1
세종특별자치시,23,4
울산광역시,0,7
울산광역시,1,4
울산광역시,7,1
울산광역시,9,1
울산광역시,10,3
울산광역시,11,4
울산광역시,12,4
울산광역시,13,4
울산광역시,14,3
울산광역시,15,3
울산광역시,16,4
울산광역시,17,7
울산광역시,18,10
울산광역시,19,8
울산광역시,20,7
울산광역시,21,6
울산광역시,22,7
울산광역시,23,7
인천광역시,0,6
인천광역시,1,5
인천광역시,2,3
인천광역시,3,2
인천광역시,4,2
인천광역시,5,2
인천광역시,6,2
인천광역시,7,3
인천광역시,8,3
인천광역시,9,3
인천광역시,10,6
인천광역시,11,12
인천광역시,12,12
인천광역시,13,9
인천광역시,14,8
인천광역시,15,7
인천광역시,16,8
인천광역시,17,12
인천광역시,18,16
인천광역시,19,16
인천광역시,20,13
인천광역시,21,11
인천광역시,22,11
인천광역시,23,12
전라남도,0,5
전라남도,1,3
전라남도,2,1
전라남도,3,4
전라남도,8,1
전라남도,9,3
전라남도,10,3
전라남도,11,8
전라남도,12,9
전라남도,13,7
전라남도,14,5
전라남도,15,5
전라남도,16,6
전라남도,17,10
전라남도,18,15
전라남도,19,12
전라남도,20,9
전라남도,21,7
전라남도,22,6
전라남도,23,5
전라북도,0,6
전라북도,1,5
전라북도,2,4
전라북도,3,3
전라북도,4,2
전라북도,7,1
전라북도,8,2
전라북도,9,4
