,지역,year_month,확진자수,전일대비증감수,십만명당발생률,사망자수,격리해제수
0,강원,2020-01,0,0,0.0,0,0
1,강원,2020-02,43,7,0.0,0,0
2,강원,2020-03,868,29,55.89,25,228
3,강원,2020-04,1484,17,96.33000000000004,42,770
4,강원,2020-05,1692,4,109.86999999999999,68,1367
5,강원,2020-06,1806,8,117.15000000000002,90,1553
6,강원,2020-07,2156,9,139.89999999999998,93,1814
7,강원,2020-08,3318,115,215.36000000000004,93,2231
8,강원,2020-09,6426,35,417.17,90,5090
9,강원,2020-10,7391,55,479.7500000000002,93,6813
10,강원,2020-11,12679,373,823.0100000000001,128,8551
11,강원,2020-12,27336,555,1774.4400000000005,341,19374
12,강원,2021-01,46705,488,3031.72,736,37144
13,강원,2021-02,49783,169,3231.5499999999997,1010,45252
14,강원,2021-03,64055,466,4157.94,1327,57332
15,강원,2021-04,75452,354,4897.749999999998,1469,68798
16,강원,2021-05,91078,501,5912.089999999998,1558,83613
17,강원,2021-06,101210,374,6569.780000000001,1544,95137
18,강원,2021-07,121641,934,7887.050000000001,1664,110842
19,강원,2021-08,154206,967,9994.919999999998,1783,139982
20,검역,2020-01,0,0,0.0,0,0
21,검역,2020-02,0,0,0.0,0,0
22,검역,2020-03,1378,217,0.0,0,5
23,검역,2020-04,11251,229,0.0,0,1154
24,검역,2020-05,15263,88,0.0,0,9483
25,검역,2020-06,18055,190,0.0,0,14104
26,검역,2020-07,28652,462,0.0,0,20833
27,검역,2020-08,40048,168,0.0,0,35195
28,검역,2020-09,42776,157,0.0,0,39778
29,검역,2020-10,50516,255,0.0,0,44194
30,검역,2020-11,58458,362,0.0,0,45994
31,검역,2020-12,71150,313,0.0,28,51279
32,검역,2021-01,80184,285,0.0,73,56977
33,검역,2021-02,80262,244,0.0,85,62599
34,검역,2021-03,95049,188,0.0,124,78718
35,검역,2021-04,98809,310,0.0,120,92772
36,검역,2021-05,113564,376,0.0,124,106184
37,검역,2021-06,119715,372,0.0,145,113316
38,검역,2021-07,146323,1041,0.0,196,131516
39,검역,2021-08,173002,579,0.0,386,157046
40,경기,2020-01,11,2,0.0,0,0
41,경기,2020-02,546,74,0.0,4,86
42,경기,2020-03,7906,400,59.01999999999998,81,1795
43,경기,2020-04,18766,200,141.64,351,9697
44,경기,2020-05,22570,164,170.33999999999995,523,18032
45,경기,2020-06,31178,367,235.34000000000003,642,21989
46,경기,2020-07,43268,339,326.53000000000003,833,35756
47,경기,2020-08,65320,1714,492.95000000000005,1023,47002
48,경기,2020-09,118625,1123,895.2600000000004,1704,91442
49,경기,2020-10,149951,1020,1131.69,2604,133721
50,경기,2020-11,183948,1874,1388.2599999999998,3093,158481
51,경기,2020-12,330513,7173,2494.37,5023,241487
52,경기,2021-01,547883,5353,4134.889999999999,11370,429512
53,경기,2021-02,604925,3747,4565.339999999999,12889,536377
54,경기,2021-03,813861,5029,6142.2,16034,726490
55,경기,2021-04,940220,5617,7095.789999999999,16851,851948
56,경기,2021-05,1138581,4885,8592.81,19042,1050369
57,경기,2021-06,1248754,4978,9424.310000000001,19402,1168582
58,경기,2021-07,1537871,11721,11489.460000000001,20636,1383545
59,경기,2021-08,1967851,15301,14655.869999999999,22011,1712510
60,경남,2020-01,0,0,0.0,0,0
61,경남,2020-02,224,59,0.0,0,0
62,경남,2020-03,2587,37,75.21000000000004,0,801
63,경남,2020-04,3419,21,101.68000000000002,0,2482
64,경남,2020-05,3715,6,110.52000000000007,0,3469
65,경남,2020-06,3869,11,115.16999999999997,0,3711
66,경남,2020-07,4610,25,137.14000000000004,0,4243
67,경남,2020-08,5612,77,166.98999999999995,0,4973
68,경남,2020-09,8129,55,241.84999999999997,0,6870
69,경남,2020-10,9290,25,276.4100000000001,0,8927
70,경남,2020-11,12608,309,375.09,8,9867
71,경남,2020-12,29322,700,872.3299999999999,69,20713
72,경남,2021-01,53236,686,1583.7700000000004,204,43709
73,경남,2021-02,59019,172,1755.8200000000004,281,55322
74,경남,2021-03,78094,777,2323.2899999999995,429,69739
75,경남,2021-04,100913,955,3002.17,503,90474
76,경남,2021-05,136038,784,4047.139999999999,582,124959
77,경남,2021-06,150650,548,4481.849999999999,587,143943
78,경남,2021-07,185188,1956,5536.199999999999,671,166853
79,경남,2021-08,271443,2777,8126.500000000001,803,235466
80,경북,2020-01,0,0,0.0,0,0
81,경북,2020-02,2229,472,0.0,48,0
82,경북,2020-03,34459,828,1274.72,616,8336
83,경북,2020-04,40252,65,1511.81,1460,29343
84,경북,2020-05,42469,14,1595.1299999999994,1660,38386
85,경북,2020-06,41509,10,1558.9600000000007,1620,39412
86,경북,2020-07,43211,12,1622.94,1674,41365
87,경북,2020-08,44103,54,1656.4500000000003,1674,41799
