,광역시도,year_month,시간대,배달건수
0,강원도,2019-08,43584,7794
1,강원도,2019-09,40165,6101
2,강원도,2019-10,39445,6030
3,강원도,2019-11,33754,4848
4,강원도,2019-12,20933,2083
5,강원도,2020-01,20251,2003
6,강원도,2020-02,22783,2369
7,강원도,2020-03,27006,2889
8,강원도,2020-04,25027,2945
9,강원도,2020-05,23932,2515
10,강원도,2020-06,24376,2541
11,강원도,2020-07,24887,2642
12,강원도,2020-08,31717,4317
13,강원도,2020-09,25629,3030
14,강원도,2020-10,24290,2893
15,강원도,2020-11,24594,3306
16,강원도,2020-12,32535,5625
17,강원도,2021-01,32660,5552
18,강원도,2021-02,27981,4343
19,강원도,2021-03,22058,3056
20,강원도,2021-04,25720,3601
21,강원도,2021-05,24913,3712
22,강원도,2021-06,24237,3076
23,강원도,2021-07,28218,4254
24,강원도,2021-08,30948,4452
25,경기도,2019-08,340916,299344
26,경기도,2019-09,336366,265354
27,경기도,2019-10,452288,347705
28,경기도,2019-11,485273,413828
29,경기도,2019-12,528706,478827
30,경기도,2020-01,528905,478539
31,경기도,2020-02,543849,534376
32,경기도,2020-03,586617,577633
33,경기도,2020-04,570723,590700
34,경기도,2020-05,584085,636826
35,경기도,2020-06,598606,627101
36,경기도,2020-07,608699,645286
37,경기도,2020-08,627125,780716
38,경기도,2020-09,555656,641201
39,경기도,2020-10,589330,627029
40,경기도,2020-11,585514,676278
41,경기도,2020-12,640290,868207
42,경기도,2021-01,602079,726713
43,경기도,2021-02,647390,713518
44,경기도,2021-03,563459,548175
45,경기도,2021-04,552374,444161
46,경기도,2021-05,536942,448333
47,경기도,2021-06,524959,387084
48,경기도,2021-07,540964,439699
49,경기도,2021-08,541609,406800
50,경상남도,2019-08,198069,71762
51,경상남도,2019-09,177377,64888
52,경상남도,2019-10,184828,68829
53,경상남도,2019-11,189258,71090
54,경상남도,2019-12,159961,62466
55,경상남도,2020-01,161912,56157
56,경상남도,2020-02,156343,62905
57,경상남도,2020-03,160911,63919
58,경상남도,2020-04,128355,50081
59,경상남도,2020-05,127160,51012
60,경상남도,2020-06,125812,51733
61,경상남도,2020-07,129266,57208
62,경상남도,2020-08,132071,66744
63,경상남도,2020-09,115947,57721
64,경상남도,2020-10,133169,64159
65,경상남도,2020-11,140484,76039
66,경상남도,2020-12,155554,104039
67,경상남도,2021-01,156425,96274
68,경상남도,2021-02,134544,76149
69,경상남도,2021-03,103965,46494
70,경상남도,2021-04,55246,11199
71,경상남도,2021-05,75452,23228
72,경상남도,2021-06,67739,17693
73,경상남도,2021-07,63837,20855
74,경상남도,2021-08,64785,22017
75,경상북도,2019-08,103368,31281
76,경상북도,2019-09,144624,37805
77,경상북도,2019-10,147902,35883
78,경상북도,2019-11,98440,29647
79,경상북도,2019-12,112771,35730
80,경상북도,2020-01,112304,34977
81,경상북도,2020-02,117115,37654
82,경상북도,2020-03,130814,43038
83,경상북도,2020-04,142067,43004
84,경상북도,2020-05,142161,45563
85,경상북도,2020-06,150531,48467
86,경상북도,2020-07,144584,47355
87,경상북도,2020-08,161502,58983
88,경상북도,2020-09,146356,50827
89,경상북도,2020-10,163769,61048
90,경상북도,2020-11,176616,70293
91,경상북도,2020-12,190314,90072
92,경상북도,2021-01,197371,84101
93,경상북도,2021-02,180610,75333
94,경상북도,2021-03,134615,52170
95,경상북도,2021-04,101279,38813
96,경상북도,2021-05,108581,45690
97,경상북도,2021-06,108117,45175
98,경상북도,2021-07,94050,57635
99,경상북도,2021-08,98648,65240
100,광주광역시,2019-08,6337,667
