id,year_month,시간대,배달건수,지역,확진자수,전일대비증감수,십만명당발생률,사망자수,격리해제수
0,2019-08,43584.0,7794.0,강원,0.0,0.0,0.0,0.0,0.0
1,2019-09,40165.0,6101.0,강원,0.0,0.0,0.0,0.0,0.0
2,2019-10,39445.0,6030.0,강원,0.0,0.0,0.0,0.0,0.0
3,2019-11,33754.0,4848.0,강원,0.0,0.0,0.0,0.0,0.0
4,2019-12,20933.0,2083.0,강원,0.0,0.0,0.0,0.0,0.0
5,2020-01,20251.0,2003.0,강원,0.0,0.0,0.0,0.0,0.0
6,2020-02,22783.0,2369.0,강원,43.0,7.0,0.0,0.0,0.0
7,2020-03,27006.0,2889.0,강원,868.0,29.0,55.89,25.0,228.0
8,2020-04,25027.0,2945.0,강원,1484.0,17.0,96.33000000000004,42.0,770.0
9,2020-05,23932.0,2515.0,강원,1692.0,4.0,109.87,68.0,1367.0
10,2020-06,24376.0,2541.0,강원,1806.0,8.0,117.15000000000002,90.0,1553.0
11,2020-07,24887.0,2642.0,강원,2156.0,9.0,139.89999999999998,93.0,1814.0
12,2020-08,31717.0,4317.0,강원,3318.0,115.0,215.36000000000004,93.0,2231.0
13,2020-09,25629.0,3030.0,강원,6426.0,35.0,417.17,90.0,5090.0
14,2020-10,24290.0,2893.0,강원,7391.0,55.0,479.7500000000002,93.0,6813.0
15,2020-11,24594.0,3306.0,강원,12679.0,373.0,823.0100000000001,128.0,8551.0
16,2020-12,32535.0,5625.0,강원,27336.0,555.0,1774.4400000000005,341.0,19374.0
17,2021-01,32660.0,5552.0,강원,46705.0,488.0,3031.72,736.0,37144.0
18,2021-02,27981.0,4343.0,강원,49783.0,169.0,3231.55,1010.0,45252.0
19,2021-03,22058.0,3056.0,강원,64055.0,466.0,4157.94,1327.0,57332.0
20,2021-04,25720.0,3601.0,강원,75452.0,354.0,4897.749999999998,1469.0,68798.0
21,2021-05,24913.0,3712.0,강원,91078.0,501.0,5912.089999999998,1558.0,83613.0
22,2021-06,24237.0,3076.0,강원,101210.0,374.0,6569.780000000001,1544.0,95137.0
