광역시도,시군구,normal,rain,snow,hot,cold
강원도,강릉시,0.1,0.1,0.4,0.0,0.2
강원도,삼척시,0.2,0.2,0.5,0.0,0.3
강원도,속초시,1.0,1.6,0.0,0.3,0.1
강원도,원주시,3.8,4.7,1.0,0.1,7.0
강원도,철원군,0.0,0.0,0.0,0.0,0.0
강원도,춘천시,0.0,0.0,0.0,0.0,0.0
경기도,고양시 덕양구,48.0,63.3,29.0,3.9,93.3
경기도,고양시 일산동구,7.1,6.9,0.0,1.5,10.1
경기도,고양시 일산서구,6.0,8.0,11.3,0.5,9.2
경기도,광명시,69.1,73.5,99.2,16.0,85.4
경기도,광주시,10.6,11.6,29.0,0.0,22.2
경기도,구리시,0.1,0.1,,0.0,0.3
경기도,군포시,0.1,0.0,2.2,0.0,0.3
경기도,김포시,1.0,0.8,0.0,0.1,1.8
경기도,남양주시,31.8,34.1,,0.3,74.9
경기도,동두천시,28.4,23.8,14.7,3.7,31.9
경기도,부천시,115.4,112.8,,10.3,190.1
경기도,성남시 분당구,0.1,0.0,0.0,0.0,0.0
경기도,성남시 수정구,0.4,0.1,0.0,0.0,1.9
경기도,성남시 중원구,0.1,0.1,0.0,0.0,2.5
경기도,수원시 권선구,0.9,1.2,2.0,0.0,2.0
경기도,수원시 장안구,0.0,0.0,0.0,0.0,0.0
경기도,수원시 팔달구,0.2,0.3,0.2,0.0,0.3
경기도,시흥시,37.0,38.5,35.8,4.3,46.4
경기도,안산시 단원구,0.2,0.1,3.4,0.0,2.3
경기도,안산시 상록구,28.4,47.8,80.2,2.4,60.0
경기도,안양시 동안구,10.5,15.8,16.4,0.6,20.3
경기도,안양시 만안구,2.7,2.1,0.8,1.7,0.3
경기도,양주시,8.8,10.1,6.4,0.3,10.8
경기도,양평군,0.0,0.0,0.0,0.0,0.0
경기도,여주시,0.0,0.0,0.0,0.0,0.0
경기도,연천군,2.9,2.1,2.8,0.0,4.2
경기도,오산시,0.0,0.0,0.0,0.0,0.0
경기도,용인시 기흥구,0.0,0.0,0.0,0.0,0.0
경기도,용인시 수지구,0.0,0.0,0.0,0.0,0.0
경기도,용인시 처인구,4.6,6.5,22.5,0.0,11.5
경기도,의왕시,0.4,0.1,0.8,0.0,1.0
경기도,의정부시,205.4,227.6,186.0,25.3,348.0
경기도,이천시,8.9,5.6,17.0,0.1,13.3
경기도,파주시,3.5,3.2,11.4,0.2,6.8
경기도,평택시,31.5,43.7,69.0,2.2,58.1
경기도,포천시,21.2,23.6,0.0,0.2,50.7
경기도,하남시,0.0,0.0,0.0,0.0,0.0
경기도,화성시,17.1,22.6,13.2,0.4,27.0
경상남도,거제시,0.1,0.0,,0.0,0.0
