대분류,시도,중분류,시군구,소분류,읍면동,영문표기,한자 표기,비고
11,서울특별시,11010,종로구,11010720,청운효자동,Cheongunhyoja-dong,淸雲孝子洞,1101072
11,서울특별시,11010,종로구,11010530,사직동,Sajik-dong,社稷洞,1101053
11,서울특별시,11010,종로구,11010540,삼청동,Samcheong-dong,三淸洞,1101054
11,서울특별시,11010,종로구,11010550,부암동,Buam-dong,付岩洞,1101055
11,서울특별시,11010,종로구,11010560,평창동,Pyeongchang-dong,平倉洞,1101056
11,서울특별시,11010,종로구,11010570,무악동,Muak-dong,毋岳洞,1101057
11,서울특별시,11010,종로구,11010580,교남동,Gyonam-dong,橋南洞,1101058
11,서울특별시,11010,종로구,11010600,가회동,Gahoe-dong,嘉會洞,1101060
11,서울특별시,11010,종로구,11010610,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,鐘路1.2.3.4街洞,1101061
11,서울특별시,11010,종로구,11010630,종로5.6가동,Jongno 5.6(oryuk)-ga-dong,鐘路5.6街洞,1101063
11,서울특별시,11010,종로구,11010640,이화동,Ihwa-dong,梨花洞,1101064
11,서울특별시,11010,종로구,11010730,혜화동,Hyehwa-dong,惠化洞,1101073
11,서울특별시,11010,종로구,11010670,창신1동,Changsin 1(il)-dong,昌信1洞,1101067
11,서울특별시,11010,종로구,11010680,창신2동,Changsin 2(i)-dong,昌信2洞,1101068
11,서울특별시,11010,종로구,11010690,창신3동,Changsin 3(sam)-dong,昌信3洞,1101069
11,서울특별시,11010,종로구,11010700,숭인1동,Sungin 1(il)-dong,崇仁1洞,1101070
11,서울특별시,11010,종로구,11010710,숭인2동,Sungin 2(i)-dong,崇仁2洞,1101071
11,서울특별시,11020,중구,11020520,소공동,Sogong-dong,小公洞,1102052
11,서울특별시,11020,중구,11020540,회현동,Hoehyeon-dong,會賢洞,1102054
11,서울특별시,11020,중구,11020550,명동,Myeong-dong,明洞,1102055
11,서울특별시,11020,중구,11020570,필동,Pil-dong,筆洞,1102057
11,서울특별시,11020,중구,11020580,장충동,Jangchung-dong,奬忠洞,1102058
11,서울특별시,11020,중구,11020590,광희동,Gwanghui-dong ,光熙洞,1102059
11,서울특별시,11020,중구,11020600,을지로동,Euljiro-dong,乙之路洞,1102060
11,서울특별시,11020,중구,11020690,신당동,Sindang-dong,新堂洞,1102069
11,서울특별시,11020,중구,11020700,다산동,Dasan-dong,茶山洞,1102070
11,서울특별시,11020,중구,11020710,약수동,Yaksu-dong,藥水洞,1102071
11,서울특별시,11020,중구,11020720,청구동,Cheonggu-dong,靑丘洞,1102072
11,서울특별시,11020,중구,11020650,신당5동,Sindang 5(o)-dong,新堂5洞,1102065
11,서울특별시,11020,중구,11020730,동화동,Donghwa-dong,東化洞,1102073
11,서울특별시,11020,중구,11020670,황학동,Hwanghak-dong,黃鶴洞,1102067
11,서울특별시,11020,중구,11020680,중림동,Jungnim-dong,中林洞,1102068
11,서울특별시,11030,용산구,11030510,후암동,Huam-dong,厚岩洞,1103051
11,서울특별시,11030,용산구,11030520,용산2가동,Yongsan 2(i)-ga-dong,龍山2街洞,1103052
11,서울특별시,11030,용산구,11030530,남영동,Namyeong-dong,南營洞,1103053
11,서울특별시,11030,용산구,11030710,청파동,Cheongpa-dong,靑坡洞,1103071
11,서울특별시,11030,용산구,11030720,원효로1동,Wonhyoro 1(il)-dong,元曉路1洞,1103072
11,서울특별시,11030,용산구,11030570,원효로2동,Wonhyoro 2(i)-dong,元曉路2洞,1103057
11,서울특별시,11030,용산구,11030580,효창동,Hyochang-dong,孝昌洞,1103058
11,서울특별시,11030,용산구,11030590,용문동,Yongmun-dong,龍門洞,1103059
11,서울특별시,11030,용산구,11030730,한강로동,Hangangno-dong,漢江路洞,1103073
11,서울특별시,11030,용산구,11030630,이촌1동,Ichon 1(il)-dong,二村1洞,1103063
11,서울특별시,11030,용산구,11030640,이촌2동,Ichon 2(i)-dong,二村2洞,1103064
11,서울특별시,11030,용산구,11030650,이태원1동,Itaewon 1(il)-dong,梨泰院1洞,1103065
11,서울특별시,11030,용산구,11030660,이태원2동,Itaewon 2(i)-dong,梨泰院2洞,1103066
11,서울특별시,11030,용산구,11030740,한남동,Hannam-dong,漢南洞,1103074
11,서울특별시,11030,용산구,11030690,서빙고동,Seobinggo-dong,西氷庫洞,1103069
11,서울특별시,11030,용산구,11030700,보광동,Bogwang-dong,普光洞,1103070
11,서울특별시,11040,성동구,11040520,왕십리2동,Wangsimni 2(i)-dong,往十里2洞,1104052
11,서울특별시,11040,성동구,11040710,왕십리도선동,WangsimniDoseon-dong,往十里道詵洞,1104071
11,서울특별시,11040,성동구,11040540,마장동,Majang-dong,馬場洞,1104054
11,서울특별시,11040,성동구,11040550,사근동,Sageun-dong,沙斤洞,1104055
11,서울특별시,11040,성동구,11040560,행당1동,Haengdang 1(il)-dong,杏堂1洞,1104056
11,서울특별시,11040,성동구,11040570,행당2동,Haengdang 2(i)-dong,杏堂2洞,1104057
11,서울특별시,11040,성동구,11040580,응봉동,Eungbong-dong,鷹峰洞,1104058
11,서울특별시,11040,성동구,11040590,금호1가동,Geumho 1(il)-ga-dong,金湖1街洞,1104059
11,서울특별시,11040,성동구,11040720,금호2.3가동,Geumho 2.3(isam)-ga-dong,金湖2.3街洞,1104072
11,서울특별시,11040,성동구,11040620,금호4가동,Geumho 4(sa)-ga-dong,金湖4街洞,1104062
11,서울특별시,11040,성동구,11040730,옥수동,Oksu-dong,玉水洞,1104073
11,서울특별시,11040,성동구,11040650,성수1가1동,Seongsu 1(il)-ga 1(il)-dong,聖水1街1洞,1104065
11,서울특별시,11040,성동구,11040660,성수1가2동,Seongsu 1(il)-ga 2(i)-dong,聖水1街2洞,1104066
11,서울특별시,11040,성동구,11040670,성수2가1동,Seongsu 2(i)-ga 1(il)-dong,聖水2街1洞,1104067
