기준일,지역,확진자수,전일대비증감수,십만명당발생률,사망자수,격리해제수
2021-08-31,합계,251416,1371,485.09,2285,221701
2021-08-31,서울,79352,456,820.73,583,69401
2021-08-31,부산,11386,44,335.68,148,10272
2021-08-31,대구,13646,51,564.27,227,12629
2021-08-31,인천,11827,73,401.89,77,10492
2021-08-31,광주,4053,19,279.51,25,3795
2021-08-31,대전,5647,34,385.76,36,4737
2021-08-31,울산,4175,24,367.51,41,3794
2021-08-31,세종,993,8,279.07,1,891
2021-08-31,경기,71081,433,529.39,747,61601
2021-08-31,강원,5460,30,353.89,59,5005
2021-08-31,충북,5152,15,321.83,73,4624
2021-08-31,충남,6937,38,327.06,55,5784
2021-08-31,전북,3588,26,198.88,60,3174
2021-08-31,전남,2600,14,140.42,19,2375
2021-08-31,경북,7100,27,269.0,88,6394
2021-08-31,경남,9980,56,298.78,31,9091
2021-08-31,제주,2602,9,385.69,2,2330
2021-08-31,검역,5836,13,0.0,13,5312
2021-08-30,합계,250045,1485,482.44,2284,220358
2021-08-30,서울,78896,442,816.01,582,69037
2021-08-30,부산,11342,57,334.38,148,10181
2021-08-30,대구,13595,85,562.16,227,12585
2021-08-30,인천,11754,64,399.41,77,10436
2021-08-30,광주,4034,30,278.2,25,3754
2021-08-30,대전,5613,29,383.43,36,4727
2021-08-30,울산,4151,36,365.4,41,3771
2021-08-30,세종,985,8,276.82,1,888
2021-08-30,경기,70648,408,526.16,747,61284
2021-08-30,강원,5430,29,351.95,59,4953
2021-08-30,충북,5137,38,320.89,73,4583
2021-08-30,충남,6899,60,325.27,55,5721
2021-08-30,전북,3562,26,197.44,60,3136
2021-08-30,전남,2586,29,139.67,19,2352
2021-08-30,경북,7073,41,267.98,88,6347
2021-08-30,경남,9924,62,297.11,31,9003
2021-08-30,제주,2593,12,384.36,2,2288
2021-08-30,검역,5823,29,0.0,13,5312
2021-08-29,합계,248560,1619,479.58,2279,218725
2021-08-29,서울,78454,517,811.44,581,68486
2021-08-29,부산,11285,64,332.7,148,9999
2021-08-29,대구,13510,57,558.65,227,12546
2021-08-29,인천,11690,93,397.24,77,10366
2021-08-29,광주,4004,22,276.13,25,3729
2021-08-29,대전,5584,18,381.45,36,4714
2021-08-29,울산,4115,36,362.23,41,3737
2021-08-29,세종,977,2,274.57,1,883
2021-08-29,경기,70240,480,523.12,745,60851
2021-08-29,강원,5401,35,350.07,59,4935
2021-08-29,충북,5099,30,318.52,73,4547
2021-08-29,충남,6839,77,322.44,53,5706
2021-08-29,전북,3536,28,196.0,60,3118
2021-08-29,전남,2557,28,138.1,19,2336
2021-08-29,경북,7032,54,266.42,88,6294
2021-08-29,경남,9862,53,295.25,31,8928
2021-08-29,제주,2581,13,382.58,2,2238
2021-08-29,검역,5794,12,0.0,13,5312
2021-08-28,합계,246941,1791,476.45,2276,216986
2021-08-28,서울,77937,569,806.09,581,67887
2021-08-28,부산,11221,76,330.81,148,9894
2021-08-28,대구,13453,76,556.29,227,12496
2021-08-28,인천,11597,95,394.08,76,10247
2021-08-28,광주,3982,20,274.61,25,3711
2021-08-28,대전,5566,46,380.22,36,4604
2021-08-28,울산,4079,22,359.06,41,3706
2021-08-28,세종,975,12,274.01,1,877
2021-08-28,경기,69760,542,519.55,743,60538
2021-08-28,강원,5366,41,347.8,59,4915
2021-08-28,충북,5069,45,316.65,73,4497
2021-08-28,충남,6762,63,318.81,53,5674
2021-08-28,전북,3508,26,194.45,60,3068
2021-08-28,전남,2529,26,136.59,19,2315
2021-08-28,경북,6978,47,264.38,88,6229
2021-08-28,경남,9809,53,293.66,31,8823
2021-08-28,제주,2568,21,380.65,2,2193
2021-08-28,검역,5782,11,0.0,13,5312
2021-08-27,합계,245150,1837,473.0,2265,214670
2021-08-27,서울,77368,556,800.21,579,67259
2021-08-27,부산,11145,68,328.57,146,9809
