광역시도,시군구,읍면동,경도,위도
강원도,속초시,교동,128.58481944444443,38.19978611111111
강원도,속초시,금호동,128.59044166666666,38.20418611111111
강원도,속초시,조양동,128.5932,38.18488055555555
강원도,원주시,단구동,127.96253055555556,37.32335277777778
강원도,원주시,일산동,127.94433055555555,37.346825
강원도,원주시,단계동,127.93669722222221,37.34979166666667
강원도,원주시,무실동,127.928775,37.334561111111114
강원도,원주시,지정면,127.84243333333332,37.359316666666665
강원도,삼척시,교동,129.16693333333333,37.4451
강원도,삼척시,남양동,129.17080833333333,37.43973333333333
강원도,강릉시,송정동,128.9298111111111,37.771730555555564
강원도,철원군,서면,127.41794166666668,38.16188055555556
강원도,철원군,동송읍,127.21033333333334,38.20447222222222
강원도,춘천시,동내면,127.76330833333333,37.845125
강원도,춘천시,석사동,127.74446666666668,37.855783333333335
강원도,춘천시,퇴계동,127.72830833333332,37.86174166666667
경기도,고양시일산동구,식사동,126.81209722222222,37.671191666666665
경기도,고양시일산동구,정발산동,126.78195277777779,37.669663888888884
경기도,고양시일산동구,중산동,126.783375,37.691186111111115
경기도,고양시일산서구,탄현동,126.77059722222221,37.69151944444444
경기도,고양시일산서구,대화동,126.75722222222224,37.680152777777785
경기도,시흥시,목감동,126.85941944444444,37.381722222222216
경기도,시흥시,은행동,126.80007777777777,37.433502777777775
경기도,시흥시,신천동,126.78713055555555,37.43557777777777
경기도,시흥시,대야동,126.79059722222222,37.44023611111111
경기도,시흥시,월곶동,126.73979440000001,37.38858333
경기도,시흥시,장곡동,126.78333889999999,37.37956389
경기도,시흥시,능곡동,126.8158456,37.36631832
경기도,시흥시,매화동,126.81767777777776,37.41485555555556
경기도,의정부시,가능동,127.04443333333332,37.74626111111111
경기도,의정부시,녹양동,127.03441944444445,37.75736111111111
경기도,의정부시,장암동,127.05634444444445,37.72359722222223
경기도,포천시,소흘읍,127.14070833333334,37.82065555555556
경기도,포천시,선단동,127.16133055555555,37.85140833333333
경기도,포천시,신북면,127.22863333333332,37.93115
경기도,포천시,일동면,127.31934444444444,37.95856944444445
경기도,포천시,군내면,127.21959722222222,37.88623611111111
경기도,김포시,풍무동,126.72591111111113,37.60202500000001
경기도,김포시,사우동,126.71913333333332,37.61653888888889
경기도,김포시,고촌읍,126.772777,37.603868
경기도,김포시,양촌읍,126.625369,37.657464
경기도,김포시,구래동,126.6237155,37.64646146
경기도,남양주시,별내동,127.12186799999999,37.646161
경기도,남양주시,오남읍,127.20666666666666,37.696175
경기도,남양주시,평내동,127.23817777777779,37.645697222222225
경기도,남양주시,진접읍,127.19196666666667,37.72361388888889
경기도,남양주시,호평동,127.25113333333331,37.65174722222222
경기도,남양주시,진건읍,127.18155277777778,37.654144444444434
경기도,남양주시,퇴계원읍,127.14672222222221,37.64658333333333
경기도,남양주시,와부읍,127.21330833333332,37.58500277777778
경기도,안산시상록구,사동,126.851013,37.297033
경기도,안산시상록구,일동,126.87379722222221,37.312625
경기도,안산시상록구,이동,126.86276666666666,37.30273888888889
경기도,안산시상록구,부곡동,126.86317777777779,37.32913611111111
경기도,안산시상록구,월피동,126.85875555555555,37.33069722222223
경기도,부천시,소사본동,126.79774509999999,37.4800464
경기도,부천시,상동,126.75625555555555,37.497747222222216
경기도,부천시,중동,126.7703,37.485019444444454
경기도,부천시,심곡동,126.78908611111109,37.48458888888889
경기도,부천시,오정동,126.79406666666668,37.52636666666667
경기도,양주시,백석읍,126.9877527777778,37.79225277777777
경기도,양주시,은현면,127.02664166666666,37.872225
경기도,양주시,광적면,126.98583333333332,37.821963888888895
경기도,양주시,남면,126.97884444444445,37.895394444444435
경기도,양주시,장흥면,126.94326666666667,37.71509722222223
경기도,용인시처인구,포곡읍,127.23294166666666,37.275061111111114
경기도,용인시처인구,모현읍,127.24459722222224,37.32665
경기도,용인시처인구,남사읍,127.15269722222223,37.11288611111111
경기도,용인시처인구,이동읍,127.1983,37.138197222222225
경기도,파주시,문산읍,126.7862,37.85022777777778
경기도,파주시,파주읍,126.81861944444445,37.83023611111111
경기도,화성시,향남읍,126.92244166666669,37.12954166666667
경기도,화성시,새솔동,126.812249,37.28998
경기도,화성시,봉담읍,126.95233333333334,37.21733888888889
경기도,화성시,남양읍,126.823833333333,37.2118472222222
경기도,화성시,우정읍,126.81736666666666,37.086972222222215
경기도,화성시,장안면,126.83339722222222,37.077008333333346
경기도,연천군,전곡읍,127.06543055555555,38.02531666666667
경기도,평택시,안중읍,126.93380833333332,36.98285277777778
경기도,평택시,지산동,127.05973055555555,37.07484444444445
경기도,평택시,서정동,127.05792222222222,37.06332777777777
경기도,평택시,청북읍,126.9361,37.03708333333333
경기도,평택시,세교동,127.08453333333333,36.99710277777777
경기도,평택시,현덕면,126.92363333333334,36.96448333333333
경기도,수원시권선구,구운동,126.97357777777779,37.27434444444445
경기도,고양시덕양구,주교동,126.8317222222222,37.65667777777777
경기도,고양시덕양구,삼송동,126.895775,37.64980277777778
경기도,양평군,양평읍,127.49606666666666,37.484011111111116
경기도,성남시수정구,복정동,127.12928888888888,37.462722222222226
경기도,성남시수정구,양지동,127.16311111111112,37.452111111111115
경기도,여주시,강천면,127.71366666666668,37.27006944444445
경기도,동두천시,송내동,127.05663333333334,37.88756111111111
경기도,동두천시,보산동,127.06343055555556,37.91490833333333
경기도,동두천시,상패동,127.04677777777779,37.90320833333333
경기도,구리시,갈매동,127.118375,37.63228333333333
경기도,안양시동안구,평촌동,126.975775,37.38658333333333
경기도,광주시,오포읍,127.23076666666668,37.363405555555566
경기도,광주시,경안동,127.25946666666668,37.40811944444445
경기도,광주시,탄벌동,127.2438873,37.4196761
경기도,광주시,송정동,127.2559243,37.4258902
경기도,성남시중원구,성남동,127.13353055555555,37.429075
경기도,성남시중원구,중앙동,127.15747169999999,37.443975200000004
경기도,성남시중원구,하대원동,127.14846388888891,37.42548055555555
경기도,성남시중원구,도촌동,127.15364166666667,37.416191666666656
경기도,하남시,초이동,127.17290833333334,37.533719444444436
경기도,이천시,장호원읍,127.61895277777776,37.112058333333344
경기도,이천시,창전동,127.44324166666668,37.28006388888889
경기도,이천시,중리동,127.4441,37.27538611111111
경기도,이천시,관고동,127.44273333333334,37.27979722222222
경기도,이천시,증포동,127.45475277777778,37.28753888888889
경기도,이천시,신둔면,127.406175,37.30345833333333
경기도,이천시,부발읍,127.48888888888891,37.28083333333333
경기도,안산시단원구,초지동,126.81066666666666,37.32197222222223
경기도,안산시단원구,고잔동,126.81906599999999,37.327149
경상남도,김해시,주촌면,128.83290833333334,35.23270833333333
경상남도,김해시,부원동,128.88882222222222,35.22566944444445
경상남도,김해시,동상동,128.88573333333332,35.233786111111115
경상남도,진주시,신안동,128.0712,35.18147222222222
경상남도,진주시,평거동,128.04002,35.163790000000006
경상남도,진주시,이현동,128.0639527777778,35.189691666666654
경상남도,진주시,상봉동,128.07511100000002,35.198564000000005
경상남도,진주시,상대동,128.111758,35.180217
경상남도,진주시,상평동,128.11122222222218,35.17308611111111
경상남도,진주시,하대동,128.12957500000002,35.18617777777777
경상남도,진주시,판문동,128.05446666666668,35.16504722222222
경상남도,진주시,금산면,128.15011111111113,35.210933333333344
경상남도,진주시,충무공동,128.135843,35.182951
경상남도,진주시,내동면,128.06962222222222,35.16238333333333
경상남도,창원시 마산회원구,석전동,128.57335,35.230185
경상남도,창원시 마산합포구,산호동,128.5859895,35.2160999
경상남도,창원시 마산합포구,오동동,128.5786,35.208768
경상남도,창원시 마산합포구,교방동,128.566238,35.214335
경상남도,함양군,함양읍,127.72879722222223,35.516619444444444
경상남도,창녕군,창녕읍,128.50335555555554,35.53765833333333
경상남도,사천시,향촌동,128.09563333333335,34.93064444444444
경상남도,사천시,사천읍,128.09335555555558,35.079680555555555
경상남도,양산시,물금읍,128.99064444444446,35.30803888888889
경상남도,창원시 성산구,상남동,128.687212,35.216268
경상남도,거제시,고현동,128.623325,34.882599
경상남도,거제시,장평동,128.6094674,34.8895579
대전광역시,동구,성남동,127.4374361,36.3445416
대전광역시,동구,자양동,127.45124166666668,36.332461111111115
대전광역시,동구,용운동,127.4636,36.32515833333333
대전광역시,동구,대동,127.44786666666668,36.32541666666667
대전광역시,동구,용전동,127.43441111111113,36.35510555555555
대전광역시,동구,삼성동,127.4221987,36.3405954
대전광역시,동구,홍도동,127.42545555555556,36.344036111111116
대전광역시,서구,탄방동,127.39726388888892,36.34366944444445
